Código del producto,Código del fabricante,Descripción del producto,Column1,Stock,
209.04,133111032,Tornillo Cortical en titanio 4.5x32mm,Stock,42,
209.05,133111034,Tornillo Cortical en titanio 4.5x34mm,Stock,28,
209.06,133111036,Tornillo Cortical en titanio 4.5x36mm,Stock,20,
209.07,133111038,Tornillo Cortical en titanio 4.5x38mm,Stock,81,
209.08,133111040,Tornillo Cortical en titanio 4.5x40mm,Stock,181,
209.09,133111042,Tornillo Cortical en titanio 4.5x42mm,Stock,69,
209.1,133111044,Tornillo Cortical en titanio 4.5x44mm,Stock,44,
209.11,133111046,Tornillo Cortical en titanio 4.5x46mm,Stock,8,
209.12,133111048,Tornillo Cortical en titanio 4.5x48mm,Stock,10,
209.13,133111050,Tornillo Cortical en titanio 4.5x50mm,Stock,32,
209.14,133111054,Tornillo Cortical en titanio 4.5x54mm,Stock,13,
209.15,133111058,Tornillo Cortical en titanio 4.5x58mm,Stock,11,
210,Tornillo de Esponjosa de rosca parcial en titanio 6.5,,Stock,1099,
210.01,133115050,Tornillo de Esponjosa de rosca parcial en titanio 6.5x50mm,Stock,1,
210.02,133115060,Tornillo de Esponjosa de rosca parcial en titanio 6.5x60mm,Stock,80,
210.03,133115065,Tornillo de Esponjosa de rosca parcial en titanio 6.5x65mm,Stock,86,
210.04,133115070,Tornillo de Esponjosa de rosca parcial en titanio 6.5x70mm,Stock,87,
210.05,133115075,Tornillo de Esponjosa de rosca parcial en titanio 6.5x75mm,Stock,102,
210.06,133115080,Tornillo de Esponjosa de rosca parcial en titanio 6.5x80mm,Stock,113,
210.07,133115085,Tornillo de Esponjosa de rosca parcial en titanio 6.5x85mm,Stock,147,
210.08,133115090,Tornillo de Esponjosa de rosca parcial en titanio 6.5x90mm,Stock,185,
210.09,133115095,Tornillo de Esponjosa de rosca parcial en titanio 6.5x95mm,Stock,228,
210.1,133115100,Tornillo de Esponjosa de rosca parcial en titanio 6.5x100mm,Stock,70,
211,Tornillo de Esponjosa de rosca completa en titanio 6.5,,Stock,61,
211.01,133117070,Tornillo de Esponjosa de rosca completa en titanio 6.5x70mm,Stock,2,
211.02,133117075,Tornillo de Esponjosa de rosca completa en titanio 6.5x75mm,Stock,10,
211.03,133117080,Tornillo de Esponjosa de rosca completa en titanio 6.5x80mm,Stock,10,
211.04,133117085,Tornillo de Esponjosa de rosca completa en titanio 6.5x85mm,Stock,14,
